Worker #4 | 10129/28708 | 2026/03/12/03/20260312_034514_liveData_batch8.parquet | 19.36s | 22.1 MB | SKIPPED (already in target schema)
Worker #6 | 10130/28708 | 2026/03/12/03/20260312_034515_liveData_batch9.parquet | 17.17s | 20.2 MB | SKIPPED (already in target schema)
Worker #5 | 10131/28708 | 2026/03/12/04/20260312_040004_liveData_batch2.parquet | 14.39s | 22.1 MB | SKIPPED (already in target schema)
Worker #5 | 10132/28708 | 2026/03/12/04/20260312_040018_liveData_batch10.parquet | 0.28s | 259.9 KB | SKIPPED (already in target schema)
Worker #2 | 10133/28708 | 2026/03/12/04/20260312_040010_liveData_batch5.parquet | 11.39s | 22.1 MB | SKIPPED (already in target schema)
Worker #8 | 10134/28708 | 2026/03/12/04/20260312_040006_liveData_batch3.parquet | 17.06s | 22.2 MB | SKIPPED (already in target schema)
Worker #3 | 10135/28708 | 2026/03/12/04/20260312_040012_liveData_batch6.parquet | 13.57s | 22.1 MB | SKIPPED (already in target schema)
Worker #1 | 10136/28708 | 2026/03/12/04/20260312_040014_liveData_batch7.parquet | 14.85s | 22.2 MB | SKIPPED (already in target schema)
Worker #7 | 10137/28708 | 2026/03/12/04/20260312_040008_liveData_batch4.parquet | 18.25s | 22.2 MB | SKIPPED (already in target schema)
Worker #6 | 10138/28708 | 2026/03/12/04/20260312_040017_liveData_batch9.parquet | 13.98s | 22.1 MB | SKIPPED (already in target schema)
Worker #5 | 10139/28708 | 2026/03/12/04/20260312_041503_liveData_batch1.parquet | 15.11s | 22.1 MB | SKIPPED (already in target schema)
Worker #2 | 10140/28708 | 2026/03/12/04/20260312_041505_liveData_batch2.parquet | 15.77s | 22.2 MB | SKIPPED (already in target schema)
Worker #2 | 10141/28708 | 2026/03/12/04/20260312_041518_liveData_batch10.parquet | 0.14s | 106.8 KB | SKIPPED (already in target schema)
Worker #4 | 10142/28708 | 2026/03/12/04/20260312_040015_liveData_batch8.parquet | 21.41s | 22.1 MB | SKIPPED (already in target schema)
Worker #7 | 10143/28708 | 2026/03/12/04/20260312_041513_liveData_batch6.parquet | 11.33s | 22.1 MB | SKIPPED (already in target schema)
Worker #3 | 10144/28708 | 2026/03/12/04/20260312_041509_liveData_batch4.parquet | 13.45s | 22.2 MB | SKIPPED (already in target schema)
Worker #6 | 10145/28708 | 2026/03/12/04/20260312_041514_liveData_batch7.parquet | 9.53s | 22.1 MB | SKIPPED (already in target schema)
