Connecting to container 'datacloudlivedataiceberg', prefix '2026/04/06'...
Schema loaded: 9 column(s), 956 file(s), 4.5 GB total.
[Checkpoint] Skipping prefix '2026/04/06' — previous run was complete.
All prefixes in batch completed.
Starting — 2 transform(s), 8 worker(s) (Auto-Scale ON), 5 attempt(s)/file...
Listing complete: 956 file(s) found.
Worker #4 | 076/956 | 2026/04/06/01/20260406_014515_liveData_batch10.parquet | 0.22s | 1.1 MB | SKIPPED (already in target schema)
Worker #7 | 077/956 | 2026/04/06/01/20260406_014510_liveData_batch6.parquet | 1.06s | 4.8 MB | SKIPPED (already in target schema)
Worker #6 | 078/956 | 2026/04/06/01/20260406_014513_liveData_batch8.parquet | 1.10s | 4.8 MB | SKIPPED (already in target schema)
Worker #3 | 079/956 | 2026/04/06/01/20260406_014512_liveData_batch7.parquet | 1.22s | 4.9 MB | SKIPPED (already in target schema)
Worker #8 | 080/956 | 2026/04/06/02/20260406_020005_liveData_batch2.parquet | 0.76s | 4.9 MB | SKIPPED (already in target schema)
Worker #1 | 081/956 | 2026/04/06/01/20260406_014515_liveData_batch9.parquet | 1.20s | 4.9 MB | SKIPPED (already in target schema)
Worker #2 | 082/956 | 2026/04/06/02/20260406_020003_liveData_batch1.parquet | 1.24s | 4.9 MB | SKIPPED (already in target schema)
Worker #4 | 083/956 | 2026/04/06/02/20260406_020009_liveData_batch4.parquet | 1.19s | 4.9 MB | SKIPPED (already in target schema)
Worker #7 | 084/956 | 2026/04/06/02/20260406_020011_liveData_batch5.parquet | 1.18s | 4.9 MB | SKIPPED (already in target schema)
Worker #5 | 085/956 | 2026/04/06/02/20260406_020007_liveData_batch3.parquet | 1.46s | 4.9 MB | SKIPPED (already in target schema)
Worker #8 | 086/956 | 2026/04/06/02/20260406_020016_liveData_batch8.parquet | 0.73s | 4.9 MB | SKIPPED (already in target schema)
Worker #2 | 087/956 | 2026/04/06/02/20260406_020019_liveData_batch10.parquet | 0.37s | 1.8 MB | SKIPPED (already in target schema)
Worker #3 | 088/956 | 2026/04/06/02/20260406_020015_liveData_batch7.parquet | 1.29s | 4.9 MB | SKIPPED (already in target schema)
Worker #6 | 089/956 | 2026/04/06/02/20260406_020013_liveData_batch6.parquet | 1.51s | 4.9 MB | SKIPPED (already in target schema)
Worker #1 | 090/956 | 2026/04/06/02/20260406_020018_liveData_batch9.parquet | 0.99s | 4.9 MB | SKIPPED (already in target schema)
Worker #8 | 091/956 | 2026/04/06/02/20260406_021508_liveData_batch4.parquet | 0.86s | 5.0 MB | SKIPPED (already in target schema)
Worker #7 | 092/956 | 2026/04/06/02/20260406_021505_liveData_batch2.parquet | 1.01s | 4.9 MB | SKIPPED (already in target schema)
Worker #4 | 093/956 | 2026/04/06/02/20260406_021503_liveData_batch1.parquet | 1.30s | 4.9 MB | SKIPPED (already in target schema)
Worker #2 | 094/956 | 2026/04/06/02/20260406_021510_liveData_batch5.parquet | 1.06s | 4.9 MB | SKIPPED (already in target schema)
Worker #7 | 095/956 | 2026/04/06/02/20260406_021517_liveData_batch10.parquet | 0.40s | 1.9 MB | SKIPPED (already in target schema)
Worker #5 | 096/956 | 2026/04/06/02/20260406_021507_liveData_batch3.parquet | 1.63s | 4.9 MB | SKIPPED (already in target schema)
Worker #1 | 097/956 | 2026/04/06/02/20260406_021515_liveData_batch8.parquet | 1.00s | 5.0 MB | SKIPPED (already in target schema)
Worker #8 | 098/956 | 2026/04/06/02/20260406_021516_liveData_batch9.parquet | 0.84s | 5.0 MB | SKIPPED (already in target schema)
Worker #3 | 099/956 | 2026/04/06/02/20260406_021511_liveData_batch6.parquet | 1.59s | 5.0 MB | SKIPPED (already in target schema)
Worker #6 | 100/956 | 2026/04/06/02/20260406_021513_liveData_batch7.parquet | 1.61s | 5.0 MB | SKIPPED (already in target schema)
Worker #2 | 101/956 | 2026/04/06/02/20260406_023007_liveData_batch2.parquet | 0.93s | 4.9 MB | SKIPPED (already in target schema)
Worker #7 | 102/956 | 2026/04/06/02/20260406_023008_liveData_batch3.parquet | 0.98s | 4.9 MB | SKIPPED (already in target schema)
Worker #4 | 103/956 | 2026/04/06/02/20260406_023004_liveData_batch1.parquet | 1.35s | 5.0 MB | SKIPPED (already in target schema)
Worker #2 | 104/956 | 2026/04/06/02/20260406_023019_liveData_batch10.parquet | 0.39s | 1.8 MB | SKIPPED (already in target schema)
Worker #8 | 105/956 | 2026/04/06/02/20260406_023014_liveData_batch6.parquet | 0.79s | 4.9 MB | SKIPPED (already in target schema)
Worker #1 | 106/956 | 2026/04/06/02/20260406_023012_liveData_batch5.parquet | 0.90s | 4.9 MB | SKIPPED (already in target schema)
Worker #3 | 107/956 | 2026/04/06/02/20260406_023015_liveData_batch7.parquet | 2.38s | 4.9 MB | SKIPPED (already in target schema)
Worker #8 | 108/956 | 2026/04/06/02/20260406_024508_liveData_batch3.parquet | 1.76s | 4.9 MB | SKIPPED (already in target schema)
Worker #7 | 109/956 | 2026/04/06/02/20260406_023019_liveData_batch9.parquet | 2.20s | 4.9 MB | SKIPPED (already in target schema)
Worker #2 | 110/956 | 2026/04/06/02/20260406_024506_liveData_batch2.parquet | 2.06s | 4.9 MB | SKIPPED (already in target schema)
Worker #1 | 111/956 | 2026/04/06/02/20260406_024510_liveData_batch4.parquet | 1.99s | 4.9 MB | SKIPPED (already in target schema)
Worker #6 | 112/956 | 2026/04/06/02/20260406_023017_liveData_batch8.parquet | 2.68s | 4.9 MB | SKIPPED (already in target schema)
Worker #5 | 113/956 | 2026/04/06/02/20260406_023010_liveData_batch4.parquet | 3.52s | 4.9 MB | SKIPPED (already in target schema)
Worker #4 | 114/956 | 2026/04/06/02/20260406_024505_liveData_batch1.parquet | 2.87s | 4.9 MB | SKIPPED (already in target schema)
Worker #1 | 115/956 | 2026/04/06/02/20260406_024517_liveData_batch9.parquet | 1.34s | 4.9 MB | SKIPPED (already in target schema)
Worker #8 | 116/956 | 2026/04/06/02/20260406_024513_liveData_batch6.parquet | 1.76s | 4.9 MB | SKIPPED (already in target schema)
Worker #6 | 117/956 | 2026/04/06/02/20260406_024518_liveData_batch10.parquet | 1.44s | 1.9 MB | SKIPPED (already in target schema)
Worker #2 | 118/956 | 2026/04/06/02/20260406_024516_liveData_batch8.parquet | 2.06s | 4.8 MB | SKIPPED (already in target schema)
Worker #7 | 119/956 | 2026/04/06/02/20260406_024514_liveData_batch7.parquet | 2.50s | 4.9 MB | SKIPPED (already in target schema)
Worker #1 | 120/956 | 2026/04/06/03/20260406_030010_liveData_batch3.parquet | 1.38s | 4.8 MB | SKIPPED (already in target schema)
Worker #3 | 121/956 | 2026/04/06/02/20260406_024511_liveData_batch5.parquet | 3.34s | 4.9 MB | SKIPPED (already in target schema)
Worker #8 | 122/956 | 2026/04/06/03/20260406_030012_liveData_batch4.parquet | 2.23s | 4.9 MB | SKIPPED (already in target schema)
Worker #4 | 123/956 | 2026/04/06/03/20260406_030008_liveData_batch2.parquet | 3.14s | 4.9 MB | SKIPPED (already in target schema)
Worker #1 | 124/956 | 2026/04/06/03/20260406_030019_liveData_batch8.parquet | 1.44s | 4.8 MB | SKIPPED (already in target schema)
Worker #2 | 125/956 | 2026/04/06/03/20260406_030015_liveData_batch6.parquet | 2.14s | 4.9 MB | SKIPPED (already in target schema)
Worker #8 | 126/956 | 2026/04/06/03/20260406_030021_liveData_batch10.parquet | 0.66s | 1.9 MB | SKIPPED (already in target schema)
Worker #7 | 127/956 | 2026/04/06/03/20260406_030017_liveData_batch7.parquet | 2.12s | 4.8 MB | SKIPPED (already in target schema)
Worker #5 | 128/956 | 2026/04/06/03/20260406_030006_liveData_batch1.parquet | 4.49s | 4.8 MB | SKIPPED (already in target schema)
Worker #6 | 129/956 | 2026/04/06/03/20260406_030013_liveData_batch5.parquet | 3.61s | 4.8 MB | SKIPPED (already in target schema)
Worker #1 | 130/956 | 2026/04/06/03/20260406_031508_liveData_batch2.parquet | 1.67s | 5.1 MB | SKIPPED (already in target schema)
Worker #2 | 131/956 | 2026/04/06/03/20260406_031510_liveData_batch3.parquet | 1.94s | 5.1 MB | SKIPPED (already in target schema)
Worker #8 | 132/956 | 2026/04/06/03/20260406_031511_liveData_batch4.parquet | 1.98s | 5.1 MB | SKIPPED (already in target schema)
Worker #4 | 133/956 | 2026/04/06/03/20260406_031507_liveData_batch1.parquet | 2.55s | 5.1 MB | SKIPPED (already in target schema)
Worker #7 | 134/956 | 2026/04/06/03/20260406_031513_liveData_batch5.parquet | 2.13s | 5.1 MB | SKIPPED (already in target schema)
Worker #3 | 135/956 | 2026/04/06/03/20260406_030020_liveData_batch9.parquet | 3.84s | 4.9 MB | SKIPPED (already in target schema)
Worker #8 | 136/956 | 2026/04/06/03/20260406_031520_liveData_batch10.parquet | 0.69s | 1.9 MB | SKIPPED (already in target schema)
Worker #1 | 137/956 | 2026/04/06/03/20260406_031517_liveData_batch8.parquet | 1.48s | 5.0 MB | SKIPPED (already in target schema)
Worker #6 | 138/956 | 2026/04/06/03/20260406_031516_liveData_batch7.parquet | 2.73s | 5.1 MB | SKIPPED (already in target schema)
Worker #2 | 139/956 | 2026/04/06/03/20260406_031519_liveData_batch9.parquet | 1.95s | 5.1 MB | SKIPPED (already in target schema)
Worker #7 | 140/956 | 2026/04/06/03/20260406_033009_liveData_batch2.parquet | 1.38s | 4.9 MB | SKIPPED (already in target schema)
Worker #8 | 141/956 | 2026/04/06/03/20260406_033013_liveData_batch4.parquet | 1.10s | 5.0 MB | SKIPPED (already in target schema)
Worker #5 | 142/956 | 2026/04/06/03/20260406_031514_liveData_batch6.parquet | 3.14s | 5.1 MB | SKIPPED (already in target schema)
Worker #1 | 143/956 | 2026/04/06/03/20260406_033014_liveData_batch5.parquet | 0.91s | 5.0 MB | SKIPPED (already in target schema)
Worker #4 | 144/956 | 2026/04/06/03/20260406_033007_liveData_batch1.parquet | 1.83s | 5.0 MB | SKIPPED (already in target schema)
Worker #3 | 145/956 | 2026/04/06/03/20260406_033011_liveData_batch3.parquet | 1.82s | 4.9 MB | SKIPPED (already in target schema)
Worker #6 | 146/956 | 2026/04/06/03/20260406_033016_liveData_batch6.parquet | 0.71s | 5.0 MB | SKIPPED (already in target schema)
Worker #5 | 147/956 | 2026/04/06/03/20260406_033022_liveData_batch10.parquet | 0.59s | 1.9 MB | SKIPPED (already in target schema)
Worker #7 | 148/956 | 2026/04/06/03/20260406_033020_liveData_batch8.parquet | 1.00s | 5.0 MB | SKIPPED (already in target schema)
Worker #8 | 149/956 | 2026/04/06/03/20260406_033021_liveData_batch9.parquet | 0.94s | 5.0 MB | SKIPPED (already in target schema)
Worker #1 | 150/956 | 2026/04/06/03/20260406_034508_liveData_batch1.parquet | 0.95s | 4.9 MB | SKIPPED (already in target schema)
Worker #6 | 151/956 | 2026/04/06/03/20260406_034513_liveData_batch4.parquet | 0.82s | 5.0 MB | SKIPPED (already in target schema)
Worker #2 | 152/956 | 2026/04/06/03/20260406_033018_liveData_batch7.parquet | 1.49s | 5.0 MB | SKIPPED (already in target schema)
Worker #4 | 153/956 | 2026/04/06/03/20260406_034509_liveData_batch2.parquet | 1.56s | 4.9 MB | SKIPPED (already in target schema)
Worker #6 | 154/956 | 2026/04/06/03/20260406_034521_liveData_batch10.parquet | 0.41s | 1.9 MB | SKIPPED (already in target schema)
Worker #8 | 155/956 | 2026/04/06/03/20260406_034518_liveData_batch7.parquet | 0.90s | 4.9 MB | SKIPPED (already in target schema)
Worker #5 | 156/956 | 2026/04/06/03/20260406_034514_liveData_batch5.parquet | 1.34s | 4.9 MB | SKIPPED (already in target schema)
Worker #7 | 157/956 | 2026/04/06/03/20260406_034516_liveData_batch6.parquet | 1.05s | 4.9 MB | SKIPPED (already in target schema)
Worker #1 | 158/956 | 2026/04/06/03/20260406_034519_liveData_batch8.parquet | 0.96s | 4.9 MB | SKIPPED (already in target schema)
Worker #3 | 159/956 | 2026/04/06/03/20260406_034511_liveData_batch3.parquet | 1.59s | 4.9 MB | SKIPPED (already in target schema)
Worker #6 | 160/956 | 2026/04/06/04/20260406_040011_liveData_batch2.parquet | 0.72s | 4.9 MB | SKIPPED (already in target schema)
Worker #2 | 161/956 | 2026/04/06/03/20260406_034521_liveData_batch9.parquet | 1.38s | 4.9 MB | SKIPPED (already in target schema)
Worker #8 | 162/956 | 2026/04/06/04/20260406_040012_liveData_batch3.parquet | 0.95s | 4.9 MB | SKIPPED (already in target schema)
Worker #1 | 163/956 | 2026/04/06/04/20260406_040018_liveData_batch6.parquet | 0.95s | 5.0 MB | SKIPPED (already in target schema)
Worker #7 | 164/956 | 2026/04/06/04/20260406_040016_liveData_batch5.parquet | 0.97s | 4.9 MB | SKIPPED (already in target schema)
Worker #4 | 165/956 | 2026/04/06/04/20260406_040009_liveData_batch1.parquet | 1.42s | 5.0 MB | SKIPPED (already in target schema)
